Date,Active Cases,Daily New,Total,Recoverd,Daily Recoverd,Daily Death,Total Death,Total Test,Daily Test
2020-05-14,14807,406,21912,5541,305,13,1564,232682,7894
2020-05-15,14869,389,22301,5851,310,17,1581,239507,6825
2020-05-16,14980,348,22649,6070,219,18,1599,245075,5568
2020-05-17,15025,312,22961,6328,258,9,1608,249371,4296
2020-05-18,15068,251,23212,6531,203,5,1613,253479,4108
2020-05-19,15121,199,23411,6660,129,17,1630,258489,5010
2020-05-20,15237,371,23782,6905,245,10,1640,264624,6135
2020-05-21,15294,362,24144,7198,293,12,1652,271286,6662
2020-05-22,15349,405,24549,7538,340,10,1662,276633,5347
2020-05-23,15382,377,24926,7878,340,4,1666,281897,5264
2020-05-24,15399,204,25130,8058,180,7,1673,285160,3263
2020-05-25,15413,141,25271,8179,121,6,1679,288018,2858
2020-05-26,15460,272,25543,8398,219,6,1685,293473,5455
2020-05-27,15498,301,25844,8655,257,6,1691,298571,5098
2020-05-28,15527,338,26182,8962,307,2,1693,304358,5787
2020-05-29,15559,271,26453,9199,237,2,1695,309497,5139
2020-05-30,15587,315,26768,9482,283,4,1699,315828,6331
2020-05-31,15607,223,26991,9684,202,1,1700,319133,3305
2020-06-01,15619,72,27063,9741,57,3,1703,321476,2343
2020-06-02,15644,162,27225,9876,135,2,1705,325097,3621
2020-06-03,15653,149,27374,10007,131,9,1714,327206,2109
2020-06-04,15662,130,27504,10121,114,7,1721,331241,4035
2020-06-05,15674,236,27740,10333,212,12,1733,335814,4573
2020-06-06,15696,197,27937,10505,172,3,1736,340176,4362
2020-06-07,15700,208,28145,10704,199,5,1741,343354,3178
2020-06-08,15707,73,28218,10759,55,11,1752,344924,1570
2020-06-09,15714,111,28329,10859,100,4,1756,348770,3846
2020-06-10,15722,216,28545,11060,201,7,1763,353737,4967
2020-06-11,15751,225,28770,11251,191,5,1768,357957,4220
2020-06-12,15767,207,28977,11442,191,0,1768,361164,3207
2020-06-13,15777,135,29112,11566,124,1,1769,365223,4059
2020-06-14,15791,185,29297,11737,171,0,1769,368065,2842
2020-06-15,15792,25,29322,11761,24,0,1769,369294,1229
2020-06-16,15803,122,29444,11869,108,3,1772,372948,3654
2020-06-17,15820,97,29541,11945,76,4,1776,377165,4217
2020-06-18,15825,69,29610,12007,62,2,1778,380395,3230
2020-06-19,15832,119,29729,12118,111,1,1779,384705,4310
2020-06-20,15840,136,29865,12242,124,4,1783,387713,3008
2020-06-21,15850,65,29930,12292,50,5,1788,390209,2496
2020-06-22,15855,51,29981,12335,43,3,1791,391668,1459
2020-06-23,15858,66,30047,12397,62,1,1792,394940,3272
2020-06-24,15865,75,30122,12462,65,3,1795,398623,3683
2020-06-25,15870,58,30180,12513,51,2,1797,402181,3558
2020-06-26,15875,93,30273,12600,87,1,1798,406121,3940
2020-06-27,15880,75,30348,12669,69,1,1799,408836,2715
2020-06-28,15882,40,30388,12706,37,1,1800,410813,1977
2020-06-29,15883,16,30404,12720,14,1,1801,411939,1126
2020-06-30,15889,48,30452,12759,39,3,1804,415257,3318
2020-07-01,15894,59,30511,12812,53,1,1805,419291,4034
2020-07-02,15903,140,30651,12938,126,5,1810,422647,3356
2020-07-03,15905,39,30690,12975,37,0,1810,425052,2405
2020-07-04,15909,60,30750,13030,55,1,1811,427590,2538
2020-07-05,15914,33,30783,13058,28,0,1811,430300,2710
2020-07-06,15915,8,30791,13065,7,0,1811,431761,1461
2020-07-07,15915,56,30847,13119,54,2,1813,434835,3074
2020-07-08,15922,19,30866,13131,12,0,1813,438250,3415
2020-07-09,15928,29,30895,13154,23,0,1813,441677,3427
2020-07-10,15930,38,30933,13189,35,1,1814,444443,2766
2020-07-11,15931,30,30963,13217,28,1,1815,447166,2723
2020-07-12,15934,13,30976,13227,10,0,1815,449118,1952
2020-07-13,15938,4,30980,13227,0,0,1815,450251,1133
2020-07-14,15939,50,31030,13275,48,1,1816,454092,3841
2020-07-15,15939,15,31045,13289,14,1,1817,456932,2840
2020-07-16,15940,32,31077,13320,31,0,1817,460019,3087
2020-07-17,15948,25,31102,13337,17,0,1817,462863,2844
2020-07-18,15950,13,31115,13348,11,0,1817,465526,2663
2020-07-19,15953,9,31124,13354,6,0,1817,467185,1659
2020-07-20,15953,7,31131,13361,7,0,1817,468990,1805
2020-07-21,15956,8,31139,13365,4,1,1818,472296,3306
2020-07-22,15957,10,31149,13374,9,0,1818,475380,3084
2020-07-23,15961,12,31161,13382,8,0,1818,478882,3502
2020-07-24,15962,17,31178,13398,16,0,1818,481626,2744
2020-07-25,15966,10,31188,13403,5,1,1819,483764,2138
2020-07-26,15969,13,31201,13412,9,1,1820,486073,2309
2020-07-27,15971,6,31207,13415,3,1,1821,487189,1116
2020-07-28,15976,15,31222,13425,10,0,1821,490394,3205
2020-07-29,15982,10,31232,13429,4,0,1821,493315,2921
2020-07-30,15982,13,31245,13442,13,0,1821,496601,3286
2020-07-31,15983,5,31250,13446,4,0,1821,499126,2525
2020-08-01,15989,11,31261,13451,5,0,1821,501784,2658
2020-08-02,15994,16,31277,13462,11,0,1821,503678,1894
2020-08-03,15997,10,31287,13467,5,2,1823,504973,1295
2020-08-04,15998,11,31298,13476,9,1,1824,508134,3161
2020-08-05,15999,7,31305,13481,5,1,1825,510732,2598
2020-08-06,16008,20,31325,13491,10,1,1826,513925,3193
2020-08-07,16014,15,31340,13499,8,1,1827,516586,2661
2020-08-08,16019,18,31358,13512,13,0,1827,519034,2448
2020-08-09,16024,11,31369,13518,6,0,1827,521071,2037
2020-08-10,16027,20,31389,13535,17,0,1827,522100,1029
2020-08-11,16046,23,31412,13539,4,0,1827,524849,2749
2020-08-12,16054,28,31440,13558,19,1,1828,527588,2739
2020-08-13,16057,11,31451,13565,7,1,1829,530384,2796
2020-08-14,16064,7,31458,13565,0,0,1829,531625,1241
2020-08-15,16074,32,31490,13587,22,0,1829,533845,2220
2020-08-16,16085,49,31539,13625,38,0,1829,535766,1921
2020-08-17,16089,14,31553,13634,9,1,1830,537147,1381
2020-08-18,16099,16,31569,13639,5,1,1831,540445,3298
2020-08-19,16120,28,31597,13645,6,1,1832,543744,3299
2020-08-20,16145,30,31627,13650,5,0,1832,548568,4824
2020-08-21,16160,26,31653,13661,11,0,1832,552333,3765
2020-08-22,16176,21,31674,13665,4,1,1833,555594,3261
2020-08-23,16197,28,31702,13672,7,0,1833,558919,3325
2020-08-24,16214,20,31722,13675,3,0,1833,560823,1904
2020-08-25,16237,27,31749,13679,4,0,1833,564368,3545
2020-08-26,16255,25,31774,13685,6,1,1834,569913,5545
2020-08-27,16282,37,31811,13695,10,0,1834,574815,4902
2020-08-28,16335,65,31876,13707,12,0,1834,579034,4219
2020-08-29,16365,61,31937,13738,31,0,1834,582786,3752
2020-08-30,16380,28,31965,13751,13,0,1834,585831,3045
2020-08-31,16400,28,31993,13759,8,0,1834,587908,2077
